Plate,Sample,Value
1,11.1,2.750026992
1,6.2,0.17758951
1,2.2,232.4704894
1,12.2,5.450008705
1,10.4,0.596586448
1,1.2,318.2704918
1,c1.3,312.099045
1,9.3,39.82451526
1,4.1,0.215399737
1,5.3,0.239180479
1,7.3,13.37829263
1,c7.2,408.5164671
1,2.4,50.96100309
1,7.2,112.4306611
1,8.2,10.01744825
1,7.4,2.433485751
1,10.1,0.755513549
1,9.4,36.83143372
1,c1.2,377.3362322
1,6.3,4.21268179
1,6.4,0.210286837
1,6.2,0.441125855
1,12.3,0.878158405
1,2.3,39.22668521
1,5.2,3.22064264
1,1.4,296.7289023
1,4.3,0.562765511
1,8.4,9.713262746
1,8.3,14.86716868
1,c7.3,365.3530169
1,12.1,4.544572743
1,12.4,5.557987207
1,1.3,2.361909164
1,11.3,2.849326399
1,9.2,77.2005645
1,2.1,294.0928944
1,5.1,4.583163102
1,9.1,37.8709529
1,11.4,1.200435167
1,3.1,34.1462774
1,4.4,10.07436508
1,6.1,2.863892291
1,c7.1,653.94987
1,c1.4,590.8843308
1,2.3,53.47255289
1,2.2,67.56923315
1,8.1,153.6442591
1,7.1,265.4634082
1,1.3,632.2404497
1,1.1,591.6556129
1,c7.4,85.22790985
1,11.2,6.368489945
1,5.4,5.565709214
1,2.4,306.0329789
1,4.2,8.060830046
1,c1.1,584.2778587
2,11.1,4.563686848
2,3.2,70.64513917
2,5.1,5.731989903
2,12.2,7.039779302
2,8.4,218.3545502
2,1.4,646.5960591
2,c7.3,659.6414216
2,4.3,8.440833096
2,3.3,75.88301579
2,5.4,6.176347061
2,10.4,5.684531254
2,c7.4,653.3712327
2,10.2,10.21890491
2,12.3,5.627507255
2,2.2,270.0506422
2,c1.3,666.5615837
2,12.1,7.193879297
2,12.4,5.843419075
2,2.3,414.2160234
2,4.4,-1.747891169
2,5.2,1.163697841
2,3.1,88.05431409
2,4.1,8.57343966
2,6.3,6.644965344
2,9.2,73.49266543
2,1.3,520.9369712
2,c7.1,660.0509327
2,4.2,7.675200699
2,11.2,6.589519651
2,8.3,223.0044451
2,5.3,2.966247192
2,11.3,2.715963162
2,3.4,35.24923109
2,2.1,168.9973516
2,7.1,53.98427258
2,c1.2,311.7402929
2,9.2,39.68127996
2,2.4,119.246355
2,9.3,45.66039359
2,7.3,30.53485144
2,9.4,32.26921884
2,10.3,4.158925572
2,6.4,2.746460284
2,8.1,95.20653226
2,c1.1,270.2771701
2,1.2,353.6356713
2,6.1,2.730214207
2,8.2,99.04600845
2,1.1,290.3390213
2,11.4,2.797954762
2,7.2,45.55863811
2,10.4,3.278889653
2,7.4,85.43240305
2,6.2,3.260680229
2,c7.2,338.5589472
3,5.1,2.694618846
3,12.1,2.642655499
3,7.3,46.38570296
3,c7.1,295.8250538
3,8.3,108.7792838
3,5.3,2.638281228
3,6.2,0.798560037
3,6.4,2.18254191
3,9.1,28.54660818
3,1.2,259.5105455
3,c1.4,274.4186526
3,6.4,2.951558778
3,4.2,4.706539673
3,11.4,1.92393311
3,3.4,31.29571773
3,2.1,157.1582102
3,c7.2,289.0488656
3,2.4,179.2739831
3,7.2,57.13906529
3,11.3,2.499734135
3,5.2,2.195592393
3,8.1,99.02159582
3,12.3,2.926784763
3,1.1,269.5050503
3,3.2,23.59850372
3,12.4,4.270146812
3,7.1,72.24453502
3,2.2,135.1503494
3,c7.4,242.8460294
3,9.4,22.5718852
3,2.3,128.4746461
3,10.3,7.936752215
3,11.2,2.657753624
3,6.3,2.941176471
3,10.1,3.337169035
3,5.4,3.218305743
3,c7.3,314.454968
3,3.3,43.2462549
3,8.4,132.0375299
3,10.2,4.161630941
3,9.3,29.51284237
3,7.4,77.96854968
3,1.4,322.1729259
3,4.3,3.145435712
3,1.3,263.3644018
3,8.2,137.9644244
3,4.1,3.717662286
3,12.2,2.76216146
3,4.4,4.642852473
3,3.1,41.96188054
3,10.4,4.102842931
3,9.2,24.44093349
3,c1.3,294.2600411
3,11.1,2.528115391
3,c1.2,291.3272166
3,c1.1,256.3419706
,,
